timestamp,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
2025-07-02 08:32:25.189661,0.0014341469838019076,0.002854842292137145,0.20501972808661645,0.00031784942367755825,-5.7393413924573956e-05,0.9841292073611818,0.177453089283878,-0.00199085190355424,-0.00027051789676858974,0.0,0.0,0.0,-2.3288275332032256
2025-07-02 08:32:25.215999,0.001453589831439807,0.0028502920276736914,0.20501975276323556,0.0003338195611621956,-6.426079393566124e-05,0.9819962570307327,0.18890006779427637,-0.001967081256854188,-0.00028543571249656685,0.0,0.0,0.0,-2.3288129507626705
2025-07-02 08:32:25.225760,0.0014727528573610876,0.002845524942945857,0.20501978538516508,0.00034955377332600664,-7.148539987487448e-05,0.9797301454682352,0.20032152845559953,-0.0019417670731746422,-0.00030070625827760284,0.0,0.0,0.0,-2.3288603700530985
2025-07-02 08:32:25.226327,0.0014916388882406126,0.0028405524242036385,0.20501982883970243,0.00036504009231694403,-7.905962249717898e-05,0.977331113228314,0.21171621480465655,-0.0019215948399211719,-0.0003165054701315405,0.0,0.0,0.0,-2.328958626388703
2025-07-02 08:32:25.229718,0.0015103429072619327,0.0028353431146973473,0.20501988538585794,0.00038022126301841844,-8.696572560968566e-05,0.9747994316204057,0.2230827559030225,-0.0019096295827148648,-0.000331706747046468,0.0,0.0,0.0,-2.329092697224741
2025-07-02 08:32:25.259902,0.0015288751259180332,0.0028298904068726877,0.20501995713915377,0.0003950801962794954,-9.519121934751193e-05,0.9721353641449451,0.23441985544967212,-0.0018962443169202078,-0.00034685638138644585,0.0,0.0,0.0,-2.3292878493137263
2025-07-02 08:32:25.261418,0.0015472134847127968,0.0028242166570892112,0.20502004568961232,0.0004096192284133027,-0.00010372973580096844,0.9693391641555916,0.24572628326324478,-0.0018783593579529672,-0.0003626615597615812,0.0,0.0,0.0,-2.329550812381592
2025-07-02 08:32:25.275363,0.001565220329068322,0.002818407044378769,0.20502015224651224,0.00042390003954718167,-0.00011259046539880687,0.9664110565571519,0.2570009287847674,-0.001831229637992771,-0.0003787347038232703,0.0,0.0,0.0,-2.329931976160729
2025-07-02 08:32:25.276243,0.0015826358768520432,0.0028126511174598533,0.20502027828485989,0.0004380551314931679,-0.0001218068012246239,0.9633512063626749,0.26824288708255434,-0.001761575572156134,-0.00039755380734263657,0.0,0.0,0.0,-2.3304335546435695
2025-07-02 08:32:25.279620,0.001599425585320514,0.002807017529977404,0.20502042411607188,0.00045210371939277677,-0.00013138599560428795,0.9601598387390736,0.2794510018098042,-0.0016986695480024786,-0.0004168262104421512,0.0,0.0,0.0,-2.330981390963044
